Date,Symbol,μ,σ²,Skew,Kurtosis,V,W,X
2023-02-01,A,0.00021114785205142848,0.0074202816478121485,-0.944450951522146,8.133625186986315,0.007420326231227574,-0.0006001463136390911,0.00044905925137937784
2023-02-01,AAL,-0.002916308497461106,0.014197286685721231,-1.6244290102041161,14.187835892392687,0.014205791540973595,-0.0028774852901918887,0.002903618493598915
2023-02-01,AAP,-0.0033699622296200645,0.015532034753878493,-2.0838415622409623,12.086946620356656,0.01554339139930756,-0.00419858191558567,0.0029826963934592166
2023-02-01,AAPL,-0.0009678943858443981,0.010018766059642697,-1.5465238414660616,13.597208109232053,0.010019702879184847,-0.0015829579367716284,0.0013761621578759708
2023-02-01,ABBV,0.0012910859612158408,0.005238761056239342,-1.2934369728177944,9.98558938678724,0.005240427959198591,-0.0004710943957774252,0.0002726222421956121
2023-02-01,ABC,0.0013272964109704282,0.005266572345900099,-2.0943777918908983,11.350185542836982,0.0052683340616626745,-0.0007810430741226372,0.00031182938018958534
2023-02-01,ABT,0.0018482566006619912,0.004204473071387496,-2.765344077753161,22.067926791791464,0.004207889123849387,-0.0007320405609259416,0.0003861155515227855
2023-02-01,ACGL,0.00016899771964036864,0.0074646458271564195,-0.7265384835660434,6.91996458116915,0.007464674387385663,-0.0004656853309983578,0.00038675689126995815
2023-02-01,ACN,0.0009758445844922128,0.005999786703875644,-2.0258571901211613,14.053231184752955,0.006000738976528727,-0.0009257309661957094,0.0005041828648904253
2023-02-01,ADBE,-0.0003323932372093448,0.008577710966265587,-1.0716668815041037,8.103563759583219,0.00857782145152973,-0.000861559834009111,0.0005996746935648175
2023-02-01,ADI,0.0006711068465914218,0.006514072797974017,-1.14269760503839,6.534101016701646,0.0065145231823735585,-0.000588814343515764,0.00027673293161130624
2023-02-01,ADM,0.0016273206421617537,0.004554506294090819,-1.369088498853407,7.160400763732264,0.004557154466563225,-0.00039938947394324575,0.00014643294933403705
2023-02-01,ADP,0.0012754985900807377,0.00523581192705249,-0.9794207630527699,7.470254675640113,0.005237438823705788,-0.0003517391511661361,0.000203731569017752
2023-02-01,ADSK,-0.00290082011642854,0.014171531540201846,-1.5505805910829806,11.306872025345939,0.014179946297549723,-0.002744286986829707,0.0023106741633481124
2023-02-01,AEE,0.0021233580314668397,0.003586966152451587,-2.2854217030580344,12.245996917470503,0.0035914748017813816,-0.00046906247428778604,0.00015408870889098872
2023-02-01,AEP,0.0012899410388942077,0.005635667295333351,-4.2205439762403065,22.924520850656812,0.0056373312432171745,-0.0017672387303177036,0.000721732814158392
2023-02-01,AES,0.00013099846617143515,0.007641666108224343,-1.1768912647851797,7.634536128664694,0.007641683268822482,-0.0007846839073561057,0.00044712543318492395
2023-02-01,AFL,0.0014753225039445179,0.004943389470213731,-2.029411911390673,10.815499870718398,0.004945566046704376,-0.0006848316896201429,0.00026121298584973017
2023-02-01,AIG,0.0012861475526780375,0.005226816948533762,-1.0684476504027571,6.900433341719464,0.005228471124061022,-0.0003843553732732632,0.0001872149513943034
2023-02-01,AIZ,-1.5162187207015533e-05,0.0077769232916593345,-0.3970574936281008,4.490496762761412,0.007776923521551255,-0.00027318894090293385,0.00027265090266450075
2023-02-01,AJG,0.002223592018434098,0.0032843979506406314,-0.8623890710353102,6.581729229934746,0.003289342312105075,-0.00014071890464688276,6.99242270963818e-05
2023-02-01,AKAM,-0.007673360367759459,0.026457464637849475,-3.0806782836801094,17.863150464710206,0.026516345097182977,-0.01389291658559059,0.012969628835822918
2023-02-01,ALB,-0.005152144099877229,0.0195289073300492,-2.4134912086675175,21.204095363236068,0.019555451918875102,-0.006901337306177391,0.008257145510728897
2023-02-01,ALGN,-0.01307357725868869,0.03525600486912879,-0.8899425894427266,6.719789779327593,0.03542692329146769,-0.007287831118804892,0.008729975432568293
2023-02-01,ALK,0.0003529337250219988,0.0071823820815478685,-1.1814083074279305,7.050869682586664,0.007182506643762126,-0.0007129020575917967,0.00036412054415194654
2023-02-01,ALL,0.0014800849257628405,0.004868414082617152,-1.426691765069043,6.98336155698283,0.0048706047340046224,-0.0004639452294840143,0.0001633435859041304
2023-02-01,ALLE,0.0012785882415345426,0.0052135893602376785,-0.8077602915015043,4.751599661038676,0.005215224148129069,-0.0002846656507524716,0.00012814672136643134
2023-02-01,AMAT,-0.002377112148864494,0.012871215352557084,-1.1219234484165177,8.218152996811591,0.012876866014725364,-0.0017332573136605853,0.0013827823475623625
2023-02-01,AMCR,0.0008013808993325639,0.006057614506899,0.01259635999713993,5.4294641650242585,0.006058256718244816,2.0514108669125687e-05,0.0002000429406351666
2023-02-01,AMD,-0.004379767128580396,0.016969504734415684,-1.0168340999170784,9.846471873189104,0.01698868709451628,-0.0024751743057273914,0.0028877912764977754
2023-02-01,AME,0.0008730778737417108,0.006094148594662978,-1.1506972846174364,6.976937547477543,0.006094910859636596,-0.000532524197842025,0.000258225277935723
2023-02-01,AMGN,0.0018934261628215589,0.004003174786496161,-1.4845853056611873,13.076622774847761,0.004006759849130218,-0.0003540007492443811,0.00020760005482406483
